date,mid_price,ask_price,bid_price
2024-01-02 06:59:00,141.904,141.904,141.904
2024-01-02 07:01:00,141.904,141.904,141.904
2024-01-02 07:02:00,141.924,141.924,141.924
2024-01-02 07:04:00,141.924,141.924,141.924
2024-01-02 07:05:00,141.965,141.965,141.965
2024-01-02 07:07:00,141.965,141.965,141.965
2024-01-02 07:08:00,141.965,141.965,141.965
2024-01-02 07:09:00,141.965,141.965,141.965
2024-01-02 07:11:00,141.965,141.965,141.965
2024-01-02 07:12:00,141.965,141.965,141.965
2024-01-02 07:14:00,141.965,141.965,141.965
2024-01-02 07:15:00,141.965,141.965,141.965
2024-01-02 07:17:00,141.965,141.965,141.965
2024-01-02 07:18:00,141.965,141.965,141.965
2024-01-02 07:20:00,141.965,141.965,141.965
2024-01-02 07:21:00,141.965,141.965,141.965
2024-01-02 07:23:00,141.965,141.965,141.965
2024-01-02 07:24:00,141.965,141.965,141.965
2024-01-02 07:25:00,141.965,141.965,141.965
2024-01-02 07:27:00,141.965,141.965,141.965
2024-01-02 07:28:00,141.965,141.965,141.965
2024-01-02 07:30:00,141.965,141.965,141.965
2024-01-02 07:31:00,141.965,141.965,141.965
2024-01-02 07:33:00,141.985,141.985,141.985
2024-01-02 07:34:00,141.985,141.985,141.985
2024-01-02 07:36:00,141.985,141.985,141.985
2024-01-02 07:37:00,141.985,141.985,141.985
2024-01-02 07:38:00,141.985,141.985,141.985
2024-01-02 07:40:00,141.985,141.985,141.985
2024-01-02 07:41:00,141.965,141.965,141.965
2024-01-02 07:43:00,141.985,141.985,141.985
2024-01-02 07:44:00,141.985,141.985,141.985
2024-01-02 07:46:00,141.985,141.985,141.985
2024-01-02 07:47:00,141.985,141.985,141.985
2024-01-02 07:49:00,141.985,141.985,141.985
2024-01-02 07:50:00,141.985,141.985,141.985
2024-01-02 07:52:00,141.985,141.985,141.985
2024-01-02 07:53:00,141.985,141.985,141.985
2024-01-02 07:54:00,142.025,142.025,142.025
