date,mid_price,ask_price,bid_price
2024-01-02 06:59:00,1.47743,1.47743,1.47743
2024-01-02 07:01:00,1.47754,1.47754,1.47754
2024-01-02 07:02:00,1.47761,1.47761,1.47761
2024-01-02 07:04:00,1.47793,1.47793,1.47793
2024-01-02 07:05:00,1.47776,1.47776,1.47776
2024-01-02 07:07:00,1.47798,1.47798,1.47798
2024-01-02 07:08:00,1.47796,1.47796,1.47796
2024-01-02 07:09:00,1.47802,1.47802,1.47802
2024-01-02 07:11:00,1.47789,1.47789,1.47789
2024-01-02 07:12:00,1.47802,1.47802,1.47802
2024-01-02 07:14:00,1.47809,1.47809,1.47809
2024-01-02 07:15:00,1.47807,1.47807,1.47807
2024-01-02 07:17:00,1.47896,1.47896,1.47896
2024-01-02 07:18:00,1.47927,1.47927,1.47927
2024-01-02 07:20:00,1.47942,1.47942,1.47942
2024-01-02 07:21:00,1.47951,1.47951,1.47951
2024-01-02 07:23:00,1.47949,1.47949,1.47949
2024-01-02 07:24:00,1.4792,1.4792,1.4792
2024-01-02 07:25:00,1.47916,1.47916,1.47916
2024-01-02 07:27:00,1.47892,1.47892,1.47892
2024-01-02 07:28:00,1.47925,1.47925,1.47925
2024-01-02 07:30:00,1.47936,1.47936,1.47936
2024-01-02 07:31:00,1.47903,1.47903,1.47903
2024-01-02 07:33:00,1.47905,1.47905,1.47905
2024-01-02 07:34:00,1.47892,1.47892,1.47892
2024-01-02 07:36:00,1.47894,1.47894,1.47894
2024-01-02 07:37:00,1.47903,1.47903,1.47903
2024-01-02 07:38:00,1.47894,1.47894,1.47894
2024-01-02 07:40:00,1.47905,1.47905,1.47905
2024-01-02 07:41:00,1.47916,1.47916,1.47916
2024-01-02 07:43:00,1.47911,1.47911,1.47911
2024-01-02 07:44:00,1.47894,1.47894,1.47894
2024-01-02 07:46:00,1.47885,1.47885,1.47885
2024-01-02 07:47:00,1.47866,1.47866,1.47866
2024-01-02 07:49:00,1.47859,1.47859,1.47859
2024-01-02 07:50:00,1.47804,1.47804,1.47804
2024-01-02 07:52:00,1.478,1.478,1.478
2024-01-02 07:53:00,1.478,1.478,1.478
2024-01-02 07:54:00,1.4782,1.4782,1.4782
2024-01-02 07:56:00,1.47822,1.47822,1.47822
2024-01-02 07:57:00,1.47822,1.47822,1.47822
2024-01-02 07:59:00,1.47813,1.47813,1.47813
2024-01-02 08:00:00,1.47815,1.47815,1.47815
2024-01-02 08:02:00,1.47815,1.47815,1.47815
2024-01-02 08:03:00,1.47817,1.47817,1.47817
2024-01-02 08:05:00,1.47807,1.47807,1.47807
2024-01-02 08:06:00,1.47802,1.47802,1.47802
2024-01-02 08:08:00,1.47789,1.47789,1.47789
2024-01-02 08:09:00,1.47793,1.47793,1.47793
