model,long,medium,short
autoarima,0.807,0.804,0.634
autoets,2.83,2.399,1.253
autotheta,1.296,1.183,0.738
chronos_bolt_base,0.519,0.507,0.365
chronos_bolt_small,0.528,0.508,0.368
moirai_1.1_base,0.473,0.46,0.37
moirai_1.1_large,0.491,0.475,0.369
moirai_1.1_small,0.485,0.475,0.387
seasonalnaive,1.0,1.0,1.0
time_moe_200M,0.694,0.692,0.57
time_moe_50M,0.724,0.725,0.541
timer,0.661,0.671,0.597
timesfm_2_0_500m,0.522,0.499,0.359
toto,0.424,0.406,0.318
visionts,0.698,0.694,0.637
